"","FeatureName","FeatureID","AvgRank"
"237","cg19345671",4299,567.8
"238","cg08895440",2119,571.4
"239","cg23255912",5025,572
"240","cg00673020",167,573.4
"241","cg11186593",2610,575.4
"242","cg26036478",5571,577.2
"243","cg10257671",2418,578.2
"244","cg13256308",3057,579.6
"245","cg22283297",4844,580.4
"246","cg13041597",3007,581
"247","cg10812733",2530,584.4
"248","cg21984020",4784,585.6
"249","cg19424343",4319,586.8
"250","cg15072871",3464,587.6
"251","cg24994111",5385,590
"252","cg17876050",4030,591.2
"253","cg26147351",5592,592.6
"254","cg13555817",3116,593.6
"255","cg14657520",3393,594.2
"256","cg15321195",3510,597.2
"257","cg07201475",1747,601.2
"258","cg24666790",5312,601.4
"259","cg03047121",805,604
"260","cg03314548",858,604.8
"261","cg14866419",3426,605.2
"262","cg15433798",3534,605.4
"263","cg06218622",1539,607.2
"264","cg02962602",773,609
"265","cg03560597",917,619
"266","cg17056317",3864,620
"267","cg09119244",2160,621.2
"268","cg13103179",3021,621.8
"269","cg14640149",3391,624.2
"270","cg12076012",2793,626.6
"271","cg21558268",4711,627
"272","cg06172859",1535,630.6
"273","cg19128723",4262,630.6
"274","cg20197861",4463,632.2
"275","cg26429629",5656,633
"276","cg06158184",1531,633.8
"277","cg22523078",4891,634.8
"278","cg11437226",2663,636.4
"279","cg04438814",1135,640
"280","cg21881537",4755,640.4
"281","cg12683342",2947,644
"282","cg27215033",5811,646.2
"283","cg12582734",2921,647
"284","cg17918906",4044,647.8
"285","cg19760323",4380,650.8
"286","cg00811081",201,651.4
"287","cg14093570",3257,652
"288","cg10945028",2561,652.2
"289","cg03122583",820,652.8
"290","cg03208016",833,652.8
"291","cg25693317",5515,654
"292","cg15909006",3612,656.2
"293","cg02907176",752,658.2
"294","cg27282281",5828,661.6
"295","cg11255394",2626,664
"296","cg08380262",2013,664.8
"297","cg15262352",3499,664.8
"298","cg24254196",5229,665.6
"299","cg04422625",1132,667.4
"300","cg09217609",2188,669
"301","cg18079845",4077,670
"302","ch.5.1829349R",5919,671.2
"303","cg13234275",3054,673.6
"304","cg00693004",169,673.8
"305","cg21581287",4715,673.8
"306","cg24509331",5277,674.2
"307","cg10224037",2415,675
"308","cg06428288",1574,681.2
"309","cg21383151",4685,683.2
"310","cg23252587",5024,685.8
"311","cg09840174",2315,686.4
"312","cg02956522",769,687.8
"313","cg20815026",4576,689
"314","cg27027375",5777,695.6
"315","cg16008273",3629,696.8
"316","cg05977191",1502,699
"317","cg16244664",3690,700.8
"318","cg02250553",578,701.2
"319","cg05148623",1303,701.2
"320","cg11684302",2715,701.4
"321","cg07970724",1917,706
"322","cg23906224",5148,706
"323","cg06866163",1665,706.2
"324","cg06485603",1586,706.4
"325","cg03521258",907,706.8
"326","cg01890726",486,707.4
"327","cg00563090",142,708.4
"328","cg00142925",31,710.8
"329","cg26905826",5753,712
"330","cg20831741",4581,713.4
"331","cg20928777",4599,713.6
"332","cg00461753",118,714.2
"333","cg14620352",3382,715.4
"334","cg01353608",347,719.8
"335","cg13922451",3214,720.8
"336","cg09149246",2167,722.2
"337","cg01019028",253,722.4
"338","cg17807479",4013,725
"339","cg06963711",1691,726.2
"340","cg13891659",3205,731.2
"341","cg06869965",1669,732
"342","cg01266338",320,737
"343","cg24417845",5261,737.8
"344","cg07253264",1759,738.2
"345","cg04738552",1199,739
"346","cg25719439",5522,740.6
"347","cg00375457",90,741
"348","cg04620506",1175,742.6
"349","cg24477401",5269,744
"350","cg26569395",5682,744.4
"351","cg19118212",4261,747.6
"352","cg14635199",3389,749.6
"353","cg23273333",5028,750.8
"354","cg24639069",5302,754.6
"355","cg02566224",653,755
"356","cg00946753",235,755.2
"357","cg03272225",848,755.2
"358","cg22175178",4820,755.4
"359","cg12569206",2918,757.8
"360","cg18210722",4095,758.4
"361","cg16419034",3727,759.2
"362","cg02639931",672,759.6
"363","cg09325384",2215,760
"364","cg22422251",4873,760.4
"365","cg14440550",3338,761
"366","cg13741394",3169,765.4
"367","cg09969018",2352,767
"368","cg10438552",2458,774
"369","cg08724866",2090,776.2
"370","ch.20.848555F",5915,777.4
"371","cg01504705",383,778.6
"372","cg18943588",4238,778.6
"373","cg07776629",1877,779.6
"374","cg26988241",5769,781
"375","cg00454592",113,782
"376","cg16989822",3847,783.2
"377","cg22271663",4839,784.8
"378","cg11240578",2623,785.4
"379","cg18322765",4112,792
"380","cg09701880",2286,792.2
"381","cg09093035",2157,792.6
"382","cg13735757",3164,793.2
"383","cg20200605",4464,794.4
"384","cg17439158",3943,797.6
"385","cg10068432",2372,798.2
"386","cg02565647",652,799.2
"387","cg15235798",3493,803
"388","cg25012987",5387,803.2
"389","cg03923227",1017,806.2
"390","cg22654949",4912,807.4
"391","cg13601161",3133,808.4
"392","cg25359978",5455,810.8
"393","cg13802506",3180,811
"394","cg11923207",2766,811.4
"395","cg19586165",4340,812
"396","cg01288748",329,812.8
"397","cg17958423",4052,813.4
"398","cg08612140",2066,823.2
"399","cg15039826",3451,823.2
"400","cg04929173",1256,823.8
"401","cg16735901",3810,823.8
"402","cg24524366",5281,824
"403","cg03089717",813,824.2
"404","cg13559478",3118,825.2
"405","cg02538014",643,825.6
"406","cg00455450",114,826
"407","cg22721765",4924,828.8
"408","cg00995807",246,829.4
"409","cg26848478",5743,829.4
"410","cg05417285",1373,831.8
"411","cg09728506",2291,831.8
"412","cg23550295",5081,832.8
"413","cg22755008",4927,835.2
"414","cg19338212",4293,836.6
"415","cg17115250",3880,837
"416","cg19599251",4342,841.2
"417","cg24973591",5380,842.8
"418","cg03259887",843,845.2
"419","cg11608241",2693,846
"420","cg16707400",3803,849.8
"421","cg21192260",4649,851.4
"422","cg00869989",218,853.2
"423","cg20997463",4616,853.4
"424","cg18908499",4230,855.4
"425","cg23025654",4971,856.2
"426","cg03331490",862,856.6
"427","cg02908189",753,858.2
"428","cg00906147",229,858.6
"429","cg08121984",1945,861
"430","cg21995068",4785,863.8
"431","cg04012896",1048,864.8
"432","cg18289303",4106,865
"433","cg05011113",1272,866
"434","cg08474901",2034,868.4
"435","cg27443693",5862,869.8
"436","cg26879945",5749,873
"437","cg01703736",431,873.8
"438","cg13664964",3148,873.8
"439","cg13711592",3156,874
"440","cg26668626",5701,875.2
"441","cg03659012",943,878.6
"442","cg17174023",3893,878.6
"443","cg10633147",2502,880.6
"444","cg22062231",4795,882
"445","cg18650367",4180,882.6
"446","cg23316599",5040,885.8
"447","cg08477740",2036,887.8
"448","cg07950469",1913,888.6
"449","cg14412317",3332,889.2
"450","cg21370986",4682,891.2
"451","cg13057857",3011,892.2
"452","cg10396177",2448,894.8
"453","cg00533620",135,895.6
"454","cg15467759",3542,899.6
"455","cg15830431",3595,902
"456","cg08205843",1971,904.8
"457","cg19750232",4376,906.2
"458","cg08863777",2115,906.8
"459","cg21390363",4687,906.8
"460","cg20572882",4528,908
"461","cg14488661",3348,908.8
"462","cg00151250",35,909.2
"463","cg19048535",4251,909.4
"464","cg17400609",3937,911
"465","cg07257649",1761,914.2
"466","cg15880846",3607,916.2
"467","cg08439468",2025,917.4
"468","cg03641469",937,922.6
"469","cg10684686",2507,924.6
"470","cg10192736",2409,927.2
"471","cg02893019",747,928.8
"472","cg02725065",700,929.8
"473","cg20553058",4525,930
"474","cg07505478",1825,930.2
"475","cg03392753",876,930.4
"476","cg16900589",3835,932.4
"477","cg06866375",1666,938
"478","cg02794984",718,940.8
"479","cg15607367",3565,940.8
"480","cg07356515",1789,941.4
"481","cg06969622",1692,943.4
"482","cg02951357",767,946.6
"483","cg24090635",5190,947.2
"484","cg06909932",1679,949.2
"485","cg16555184",3756,950
"486","cg12548348",2914,951
"487","cg02277850",582,955.8
"488","cg16478792",3736,955.8
"489","cg00859877",213,956.2
"490","cg27560452",5884,960.4
"491","cg18363268",4123,960.6
"492","cg15391491",3526,962.8
"493","cg01782668",455,966.2
"494","cg04757806",1209,966.4
"495","cg04862799",1236,969.6
"496","cg01835436",471,976.4
"497","cg14356919",3319,982
"498","cg25780109",5531,984.2
"499","cg09748770",2293,987
"500","cg11142944",2602,987.8
"501","cg00979195",240,989
"502","cg09840850",2316,993.2
"503","cg12458866",2888,995.8
"504","cg26296781",5626,996.2
"505","cg06602498",1610,996.4
"506","cg13168187",3042,998.6
"507","cg25538984",5485,1000.6
"508","cg20963750",4607,1001
"509","cg24525646",5282,1001.6
"510","cg03001484",786,1004.2
"511","cg17785202",4010,1005.8
"512","cg20431676",4501,1008.2
"513","cg22260508",4835,1010.4
"514","cg25371692",5459,1011.2
"515","cg15531235",3553,1013
"516","cg22128918",4805,1013.6
"517","cg00533835",136,1014
"518","cg04986781",1267,1020.2
"519","cg05886241",1477,1020.6
"520","cg10074892",2374,1021.4
"521","cg11434468",2662,1023.2
"522","cg22116041",4801,1023.2
"523","cg10753889",2517,1025.4
"524","cg01817009",467,1028.6
"525","cg21532913",4710,1028.6
"526","cg25692002",5514,1030
"527","cg20621463",4536,1030.6
"528","cg14507014",3350,1032
"529","cg23973801",5162,1033.4
"530","cg19305040",4286,1035
"531","cg26234034",5612,1035.4
"532","cg11714200",2723,1035.6
"533","cg17707966",3993,1035.8
"534","cg03664802",945,1038.2
"535","cg26544377",5673,1038.8
"536","cg23887129",5143,1045.2
"537","cg22127027",4804,1046.2
"538","cg02695074",691,1046.4
"539","cg05571310",1412,1047.4
"540","cg08440920",2026,1048.6
"541","cg23547286",5080,1049.2
"542","cg08843902",2111,1050.4
"543","cg16973568",3843,1052
"544","cg13601079",3132,1057.6
"545","cg17534899",3967,1060.2
"546","cg13370491",3077,1061.2
"547","cg02119792",540,1066.8
"548","cg26361757",5639,1066.8
"549","cg21239840",4661,1068
"550","cg15731108",3581,1070
"551","cg04009456",1046,1071.4
"552","cg24860970",5361,1074.4
"553","cg15104066",3471,1075.2
"554","cg26362576",5640,1075.2
"555","cg25870680",5542,1079.8
"556","cg10182418",2406,1081.6
"557","cg26547236",5676,1082.2
"558","cg27561452",5886,1085.8
"559","cg00157016",38,1086
"560","cg22237988",4832,1086
"561","cg05480730",1387,1086.2
"562","cg10197546",2410,1086.8
"563","cg07064592",1712,1089.8
"564","cg10409253",2454,1091
"565","cg25649188",5505,1091.8
"566","cg19866325",4400,1095.6
"567","cg03585974",925,1096.8
"568","cg08618413",2067,1100.6
"569","cg26735215",5717,1101.2
"570","cg08925658",2130,1102.6
"571","cg15415509",3532,1103
"572","cg15494556",3548,1107.2
"573","cg21484985",4703,1108.6
"574","cg01839954",473,1110.8
"575","cg11344927",2642,1114.8
"576","cg19802542",4386,1115
"577","cg10976623",2567,1116
"578","cg20618651",4535,1117.8
"579","cg27067158",5785,1117.8
"580","cg23963397",5159,1120.8
"581","cg08579916",2059,1122
"582","cg23829831",5134,1122.6
"583","cg11518257",2675,1122.8
"584","cg01894846",488,1123.6
"585","cg01618660",413,1128.4
"586","cg12257397",2836,1131.2
"587","cg02779164",710,1131.4
"588","cg02823132",724,1131.8
"589","cg16581271",3761,1133.8
"590","cg07624915",1849,1134.2
"591","cg02500917",632,1141.2
"592","cg21913981",4764,1142.8
"593","cg16073846",3645,1146
"594","cg22507989",4886,1146
"595","cg06032540",1511,1146.4
"596","cg17846100",4027,1146.6
"597","cg06937357",1684,1148.4
"598","cg16210324",3679,1149
"599","cg27454300",5864,1149.6
"600","cg07049833",1706,1152.4
"601","cg02386599",608,1152.8
"602","cg09267427",2201,1153.4
"603","cg20459430",4511,1155.8
"604","cg21341785",4679,1158.8
"605","cg07264682",1763,1160
"606","cg03157610",826,1160.8
"607","cg23496314",5071,1162.2
"608","cg14595786",3374,1165
"609","cg22611980",4905,1166.8
"610","cg24073051",5187,1169.6
"611","cg17344770",3926,1174.4
"612","cg20020143",4434,1176.8
"613","cg18363143",4122,1177.8
"614","cg23110353",4987,1180.2
"615","cg23225699",5016,1180.6
"616","cg23334433",5047,1180.8
"617","cg05861030",1468,1182.6
"618","cg18645101",4178,1182.8
"619","cg00863099",215,1186.4
"620","cg14256511",3295,1189.8
"621","cg05129817",1295,1191
"622","cg19831698",4391,1193.2
"623","cg09428681",2233,1194.8
"624","cg16700025",3799,1201.6
"625","cg16555504",3757,1203.6
"626","cg02381853",607,1204.4
"627","cg01815679",466,1205.4
"628","cg14460715",3343,1207.2
"629","cg02675083",686,1209.6
"630","cg19837815",4394,1210.8
"631","cg01076217",265,1211.4
"632","cg03659153",944,1211.8
"633","cg04873026",1239,1211.8
"634","cg21165029",4640,1212.6
"635","cg04254693",1104,1214
"636","cg17155577",3887,1216
"637","cg10456168",2463,1216.4
"638","cg07470314",1813,1218
"639","cg18773354",4203,1218.2
"640","cg11330362",2637,1218.4
"641","cg24082174",5188,1220.8
"642","cg02768863",708,1221
"643","cg12662017",2943,1221
"644","cg22450693",4878,1222.4
"645","cg10149326",2398,1225.2
"646","cg01400750",358,1225.6
"647","cg01765529",450,1228
"648","cg10527285",2480,1229.4
"649","cg08564027",2055,1229.8
"650","cg18942213",4236,1230
"651","cg25039993",5396,1234.8
"652","cg03092271",815,1237.4
"653","cg09047734",2145,1237.6
"654","cg04495299",1156,1241.2
"655","cg01723291",438,1242
"656","cg24321030",5243,1242
"657","cg15168958",3482,1243.6
"658","cg05455729",1381,1244.4
"659","cg23949969",5157,1244.4
"660","cg23287906",5034,1245
"661","cg14904697",3432,1249
"662","cg15471981",3544,1253.6
"663","cg24149364",5204,1254.2
"664","cg13903087",3209,1259.2
"665","cg14074389",3252,1260
"666","ch.4.154120390F",5917,1262.2
"667","cg16804603",3825,1264.4
"668","cg19213242",4272,1264.6
"669","cg02530668",640,1267.8
"670","cg13626505",3136,1272.4
"671","cg02994349",783,1273.2
"672","cg12487914",2899,1274.8
"673","cg10926512",2554,1275.8
"674","cg14487075",3347,1277.8
"675","cg20464068",4512,1278.4
"676","cg26610167",5690,1281.4
"677","cg01496199",382,1282.8
"678","cg05312278",1348,1283.2
"679","cg13438631",3090,1287.8
"680","cg20741319",4562,1291.2
"681","cg24312537",5240,1292.6
"682","cg01750221",444,1293
"683","cg03804206",990,1293.8
"684","cg02542103",648,1298.2
"685","cg21825734",4742,1298.2
"686","cg00520612",130,1298.8
"687","cg17723958",3998,1299
"688","cg11084729",2586,1301.4
"689","cg13502931",3107,1303.6
"690","cg17226286",3907,1305.8
"691","cg08037937",1930,1306.2
"692","cg13580029",3124,1306.8
"693","cg09275408",2203,1307.4
"694","cg12098015",2799,1307.4
"695","cg09998474",2359,1308.6
"696","cg10882226",2546,1309.2
"697","cg17658634",3984,1309.2
"698","cg26310429",5627,1310.8
"699","cg25010880",5386,1311.4
"700","cg01349687",345,1312.6
"701","cg23729050",5110,1314.2
"702","cg03946269",1026,1318.6
"703","cg22671580",4917,1318.8
"704","cg23737575",5113,1321
"705","cg19101460",4258,1322
"706","cg10183671",2407,1322.4
"707","cg06823805",1652,1322.8
"708","cg00383384",94,1327.4
"709","cg19345244",4298,1330.6
"710","cg16746737",3812,1331.2
"711","cg04999502",1268,1332
"712","cg25153601",5414,1336.4
"713","cg22250642",4834,1338.2
"714","cg22229039",4829,1338.4
"715","cg17295589",3918,1339
"716","cg17275432",3912,1342
"717","cg09888229",2331,1343.8
"718","cg01511814",385,1352.2
"719","cg09939729",2344,1355.6
"720","cg25606066",5500,1357.2
"721","cg26343563",5634,1358.6
"722","cg10136452",2396,1360.2
"723","cg05027972",1276,1360.4
"724","cg22586236",4902,1363.6
"725","cg05572834",1413,1367
"726","cg18618429",4172,1367
"727","cg12544411",2913,1368.8
"728","cg19909865",4407,1373
"729","cg07307422",1777,1373.2
"730","cg02197392",562,1374
"731","cg11779299",2736,1374
"732","cg16319142",3704,1374.4
"733","cg15454598",3539,1375.6
"734","cg00223877",55,1376.8
"735","cg01210307",303,1378.6
"736","cg06915321",1682,1379
"737","cg23490638",5069,1379.2
"738","cg15991207",3624,1379.4
"739","cg02459107",625,1379.8
"740","cg09092161",2156,1380.6
"741","cg10894441",2549,1381.6
"742","cg01613337",411,1383.4
"743","cg22812331",4936,1385.2
"744","cg07146119",1733,1387.2
"745","cg21080246",4627,1387.4
"746","cg08193322",1966,1388.2
"747","cg00853480",211,1389.4
"748","cg03573961",921,1392.8
"749","cg07985933",1919,1393.2
"750","cg18555299",4157,1396
"751","cg18976803",4243,1400
"752","cg13919285",3212,1401.8
"753","cg26528477",5670,1403.4
"754","cg08277259",1990,1413.4
"755","cg04554131",1160,1417.4
"756","cg05495879",1394,1417.8
"757","cg10128894",2391,1420.4
"758","cg11107205",2589,1422.8
"759","cg20992330",4614,1423.4
"760","cg18991417",4245,1424.4
"761","cg04002935",1041,1427
"762","cg12299303",2846,1427.8
"763","cg19377234",4308,1429.6
"764","cg11846226",2754,1429.8
"765","cg18944144",4240,1431
"766","cg04050020",1058,1432.6
"767","cg23881693",5142,1436.4
"768","cg01905420",489,1437.4
"769","cg17834136",4022,1437.4
"770","cg15029631",3449,1439.2
"771","cg00626068",158,1440
"772","cg08979136",2140,1440
"773","cg01663968",423,1447.4
"774","cg14950301",3439,1449.4
"775","cg15958424",3617,1454.4
"776","cg24645123",5304,1457.2
"777","cg25051948",5398,1458.2
"778","cg01101058",272,1464
"779","cg16484526",3737,1467.2
"780","cg24128998",5197,1470.4
"781","cg10206873",2412,1472
"782","cg13835894",3187,1474
"783","cg16189160",3673,1474
"784","cg15247500",3497,1475
"785","cg17393321",3934,1475.4
"786","cg02207779",565,1475.6
"787","cg11244695",2624,1478
"788","cg02635033",671,1479
"789","cg09261262",2199,1482.8
"790","cg27642181",5895,1482.8
"791","cg27239243",5818,1483.8
"792","cg18141891",4085,1486.8
"793","cg15458801",3541,1487.6
"794","cg04201527",1087,1488.6
"795","cg10265258",2422,1489
"796","cg24038794",5176,1490
"797","cg26624105",5692,1490.2
"798","cg11502565",2672,1493.2
"799","cg09560912",2262,1495.2
"800","cg07472373",1815,1495.4
"801","cg21412748",4692,1497.2
"802","cg00611548",155,1497.6
"803","cg24298539",5237,1497.8
"804","cg05388232",1364,1498
"805","cg21928095",4768,1499.6
"806","cg04021548",1051,1502.4
"807","cg03705284",960,1502.8
"808","cg12623918",2933,1503
"809","cg20180562",4461,1506.4
"810","cg16414691",3726,1510.6
"811","cg06910580",1680,1510.8
"812","cg17349753",3927,1511.4
"813","cg14385231",3327,1515
"814","cg03926906",1020,1517.6
"815","cg24873093",5363,1517.6
"816","cg14178083",3275,1518.6
"817","cg05545808",1408,1520.6
"818","cg18019451",4063,1520.6
"819","cg24041977",5179,1520.8
"820","cg12482231",2896,1521.8
"821","cg10874556",2543,1522
"822","cg19185339",4268,1522.4
"823","cg06739469",1632,1523
"824","cg26322749",5630,1525
"825","cg12099032",2801,1525.6
"826","cg15602841",3561,1529.4
"827","cg27561306",5885,1529.8
"828","cg06476131",1584,1531.2
"829","cg16314862",3702,1532
"830","cg12832449",2972,1533.2
"831","cg04458985",1147,1535.8
"832","cg16270399",3696,1535.8
"833","cg05245722",1331,1540.2
"834","cg26728422",5715,1540.2
"835","cg16974699",3844,1543
"836","cg01426169",370,1546.4
"837","cg03010388",789,1547.2
"838","cg22531904",4894,1547.4
"839","cg14340336",3316,1548.4
"840","cg18639374",4175,1548.4
"841","cg00115040",22,1550.6
"842","cg04407317",1128,1550.8
"843","cg13973325",3225,1551.4
"844","cg25968394",5558,1551.6
"845","cg22392325",4867,1553.2
"846","cg11314779",2634,1555.8
"847","cg04876474",1242,1557.4
"848","cg13189687",3046,1558
"849","cg01808708",464,1561
"850","cg04980291",1265,1561.2
"851","cg12078588",2796,1561.8
"852","cg05936194",1489,1562.2
"853","cg26573923",5684,1564.6
"854","cg00751288",186,1567
"855","cg17495792",3959,1569.6
"856","cg08170869",1959,1570.8
"857","cg19832565",4392,1573
"858","cg26273958",5620,1573.2
"859","cg27407390",5853,1573.4
"860","cg25764996",5528,1573.8
"861","cg14541448",3362,1574.2
"862","cg08460080",2033,1574.6
"863","cg26071746",5577,1575.6
"864","cg23585251",5086,1576
"865","cg27130630",5796,1582.2
"866","cg17414580",3938,1582.6
"867","cg03021329",793,1584.2
"868","cg03013298",792,1586
"869","cg06480353",1585,1586.2
"870","cg00412337",103,1588
"871","cg11944101",2772,1590.6
"872","cg19406367",4317,1592.6
"873","cg18862888",4218,1594.2
"874","cg23762359",5121,1594.4
"875","cg09258150",2198,1595.2
"876","cg15288197",3505,1597
"877","cg06898463",1676,1598.6
"878","cg24568796",5291,1599.6
"879","cg05189570",1314,1599.8
